Operation,soaId,Adapter name,TotalAdapterTimetaken,AdapterCodeTimeTaken,asmTimetaken,asmBackEndTimetaken,Delay in discrete manner,networkDelay,ApiName And ApiTimeTaken,TotalBackEndAPIsTimeTaken
ProductOfferingQualification+AF8-V1+AF8-0.checkProductOfferingQualification,7e309569+AC0-9f80+AC0-4453+AC0-a16b+AC0-02b866cf267b,ProductOfferingQualification,7662ms,259,110ms,47ms,TimeTakenForContextLoading(1ms)+AHw-TimeTakenForContextClosing(0ms)+AHw-TimeTakenForOpeningSession(291ms)+AHw-TimeTakenForClosingSession(2894ms),3296ms,updateProductConfiguration(4060ms)+AHw-,4060
ProductOrderingManagement+AF8-V1+AF8-0.getOrder,77a98419+AC0-3fee+AC0-40df+AC0-a7c4+AC0-b1930529848d,ProductOrderingManagement,11250ms,22,27ms,2ms,TimeTakenForContextLoading(3ms)+AHw-TimeTakenForContextClosing(0ms)+AHw-TimeTakenForOpeningSession(1142ms)+AHw-TimeTakenForClosingSession(2630ms),3775ms,retrieveProductHeader(3136ms)+AHw-retrieveProductConfiguration(4288ms)+AHw-,7424
ProductOfferingQualification+AF8-V1+AF8-0.getProductOfferingQualification,63211d7e+AC0-7ef8+AC0-479f+AC0-b107+AC0-97c5cd9f781e,ProductOfferingQualification,8682ms,95,30ms,6ms,TimeTakenForContextLoading(12ms)+AHw-TimeTakenForContextClosing(0ms)+AHw-TimeTakenForOpeningSession(363ms)+AHw-TimeTakenForClosingSession(1184ms),1559ms,retrieveProductHeader(1591ms)+AHw-retrieveProductConfiguration(5401ms)+AHw-,6992
PaymentManagement+AF8-V1+AF8-0.validateBankAccount,aa5b9c7e+AC0-638b+AC0-4f70+AC0-814f+AC0-ab06a46ea4ad,paymentmanagement+AF8-v1+AF8-0+AF8-paymentmanagement+AF8-v1+AF8-,1037ms,5,0ms,0ms,TimeTakenForContextLoading(23ms)+AHw-TimeTakenForContextClosing(0ms)+AHw-TimeTakenForOpeningSession(143ms)+AHw-TimeTakenForClosingSession(361ms),527ms,validatePymDet(505ms)+AHw-,505
PaymentManagement+AF8-V1+AF8-0.getTokenizedCard,f6a3b906+AC0-ee85+AC0-43de+AC0-a4ec+AC0-d01fc308fdb4,AccountManagemen,2218ms,35,41ms,561ms,TimeTakenForContextLoading(0ms)+AHw-TimeTakenForContextClosing(0ms)+AHw-TimeTakenForOpeningSession(34ms)+AHw-TimeTakenForClosingSession(0ms),34ms,retrieveCustomerProfile(1043ms)+AHw-searchPayMeansForParty(504ms)+AHw-,1547
PartyInteractionManagement+AF8-V1+AF8-0.reOpenCustomerProblem,150e408e+AC0-00c9+AC0-45ae+AC0-aa60+AC0-b27099209966,PartyInteractio,6971ms,4,29ms,36ms,TimeTakenForContextLoading(0ms)+AHw-TimeTakenForContextClosing(0ms)+AHw-TimeTakenForOpeningSession(1401ms)+AHw-TimeTakenForClosingSession(1578ms),2979ms,ReOpenCustomerProblem 3923,3923
PartyInteractionManagement+AF8-V1+AF8-0.createPartyInteraction,433b9c73+AC0-67ea+AC0-400a+AC0-b314+AC0-cdfac4e1d6dd,PartyInteractio,6083ms,22,41ms,310ms,TimeTakenForContextLoading(0ms)+AHw-TimeTakenForContextClosing(0ms)+AHw-TimeTakenForOpeningSession(1434ms)+AHw-TimeTakenForClosingSession(0ms),1434ms,CreateCustomerProblem(1794)+AHw- CreateCustomerProblem(2482),4276
PartyInteractionManagement+AF8-V1+AF8-0.getPartyInteraction,b7581e75+AC0-8413+AC0-4cf1+AC0-a019+AC0-371a3e40480b,PartyInteractio,8737ms,1011,37ms,55ms,TimeTakenForContextLoading(0ms)+AHw-TimeTakenForContextClosing(0ms)+AHw-TimeTakenForOpeningSession(593ms)+AHw-TimeTakenForClosingSession(1270ms),1863ms,+ACI-retrieveCustomerProblemByReference (1550)+AHw- 
retrieveCustomerInteraction (4221 )+ACI-,5771
PartyInteractionManagement+AF8-V1+AF8-0.closeCustomerProblem,ad3f6edd+AC0-61f7+AC0-4f87+AC0-b831+AC0-f7ce610e14de,PartyInteractio,7803ms,149,15ms,23ms,TimeTakenForContextLoading(0ms)+AHw-TimeTakenForContextClosing(0ms)+AHw-TimeTakenForOpeningSession(1591ms)+AHw-TimeTakenForClosingSession(610ms),2201ms,closeCustomerProblem  5415,5415
,,,,,,,,,,
ManageUpgrade+AF8-1+AF8-0+AF8-getUpgradeEligibility,c68f686b+AC0-3ef1+AC0-47c8+AC0-90c8+AC0-de2dd1f193d1,getUpgradeEligibility,8ms,+AC0-140,106ms,42ms,TimeTakenForContextLoading(0ms)+AHw-TimeTakenForContextClosing(0ms)+AHw-TimeTakenForOpeningSession(0ms)+AHw-TimeTakenForClosingSession(0ms),106ms,,0
MangeAddOn+AF8-1+AF8-0+AF8-checkAddOn+AF8-1,9b6a3f77+AC0-7777+AC0-4fb1+AC0-91d4+AC0-772e524afe9c,CheckAddOn+AF8-1,8591ms,164,16ms,1ms,TimeTakenForContextLoading(2ms)+AHw-TimeTakenForContextClosing(0ms)+AHw-TimeTakenForOpeningSession(1568ms)+AHw-TimeTakenForClosingSession(1108ms),2678ms,retrieveProductHeader(1607ms)+AHw-retrieveProductConfiguration(4125ms)+AHw-,5732
O2IE+AF8-ManageBillDetails+AF8-1+AF8-0+AF8-getUnbilledAmount+AF8-1,611dea29+AC0-5ad3+AC0-4de8+AC0-b9ae+AC0-34b715f8da97,getUnbilledAmount+AF8-1,506ms,2,0ms,0ms,TimeTakenForContextLoading(1ms)+AHw-TimeTakenForContextClosing(1ms)+AHw-TimeTakenForOpeningSession(100ms)+AHw-TimeTakenForClosingSession(0ms),102ms,getUnbilledAmount(402ms)+AHw-,402
SubscriptionManagement+AF8-V1+AF8-0+AF8-changeStatus,a248604d+AC0-40f1+AC0-41bd+AC0-b543+AC0-3bf34481544e,changeStatus,8772ms,8721,35ms,16ms,TimeTakenForContextLoading(0ms)+AHw-TimeTakenForContextClosing(0ms)+AHw-TimeTakenForOpeningSession(0ms)+AHw-TimeTakenForClosingSession(0ms),35ms,,0
SubscriptionManagement+AF8-V1+AF8-0+AF8-setContact,ba1e2357+AC0-fde7+AC0-4e32+AC0-8899+AC0-c0ad1ed46761,setContact,831ms,799,23ms,9ms,TimeTakenForContextLoading(0ms)+AHw-TimeTakenForContextClosing(0ms)+AHw-TimeTakenForOpeningSession(0ms)+AHw-TimeTakenForClosingSession(0ms),0ms,,0
creditvettingfraud+AF8-v1+AF8-0,05ac3038+AC0-33dc+AC0-4001+AC0-9abf+AC0-139116a79e27,creditvettingfraud+AF8-v1+AF8-0,1268ms,1066,0ms,0ms,TimeTakenForContextLoading(0ms)+AHw-TimeTakenForContextClosing(0ms)+AHw-TimeTakenForOpeningSession(83ms)+AHw-TimeTakenForClosingSession(119ms),202ms,,0
cvfdocumentverification+AF8-V1+AF8-0, 6a10f063+AC0-f9ba+AC0-400a+AC0-a8bc+AC0-adfd5505951c,cvfdocumentverification+AF8-V1+AF8-0+AF8-cvfdocumentverification+AF8-V1+AF8-,3625ms,52,25ms,13ms,TimeTakenForContextLoading(1ms)+AHw-TimeTakenForContextClosing(0ms)+AHw-TimeTakenForOpeningSession(200ms)+AHw-TimeTakenForClosingSession(99ms),300ms,updateCVFAndDVStatusSvc(3235ms)+AHw-,3235
idmmanagement+AF8-v1+AF8-0,a945903c+AC0-af51+AC0-478c+AC0-9f50+AC0-1fd76616388d,idmmanagement+AF8-v1+AF8-0+AF8-idmmanagement+AF8-v1+AF8-,3720ms,3703,16ms,1ms,TimeTakenForContextLoading(0ms)+AHw-TimeTakenForContextClosing(0ms)+AHw-TimeTakenForOpeningSession(0ms)+AHw-TimeTakenForClosingSession(0ms),0ms,,0
Managehandsetdetails+AF8-1+AF8-0+AF8-SD,b92972ae+AC0-49b9+AC0-41b9+AC0-8869+AC0-8f84eb41eb58,managehandsetdetails+AF8-1+AF8-0+AF8-SD,2260ms,159,0ms,0ms,TimeTakenForContextLoading(0ms)+AHw-TimeTakenForContextClosing(63ms)+AHw-TimeTakenForOpeningSession(40ms)+AHw-TimeTakenForClosingSession(1020ms),1123ms,updateCurrentIMEI(978ms)+AHw-,978
